原始模型
time cost: 0.014249932765960694
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    aten::resize_         2.26%       9.793ms         2.26%       9.793ms       3.672us       6.143ms         1.21%       6.143ms       2.303us           0 b           0 b     245.00 Kb     245.00 Kb          2667            --  
                      aten::empty         2.72%      11.800ms         2.72%      11.800ms       8.576us       3.961ms         0.78%       3.961ms       2.879us           0 b           0 b     947.89 Mb     947.89 Mb          1376            --  
                    aten::reshape         2.71%      11.766ms         5.37%      23.297ms      17.921us       6.097ms         1.20%       8.891ms       6.839us           0 b           0 b           0 b           0 b          1300            --  
             aten::_reshape_alias         2.83%      12.293ms         2.83%      12.293ms       8.831us       3.003ms         0.59%       3.003ms       2.157us           0 b           0 b           0 b           0 b          1392            --  
                       aten::add_         5.25%      22.763ms         5.25%      22.763ms      17.510us      32.269ms         6.36%      32.269ms      24.822us           0 b           0 b           0 b           0 b          1300            --  
                      aten::relu_         7.96%      34.530ms        14.40%      62.477ms      41.651us       7.217ms         1.42%      47.365ms      31.577us           0 b           0 b           0 b           0 b          1500            --  
                 aten::clamp_min_         2.76%      11.997ms         6.44%      27.947ms      18.631us       7.271ms         1.43%      40.148ms      26.765us           0 b           0 b           0 b           0 b          1500            --  
                  aten::clamp_min         3.68%      15.950ms         3.68%      15.950ms      10.633us      32.877ms         6.48%      32.877ms      21.918us           0 b           0 b           0 b           0 b          1500            --  
                 aten::max_pool2d         1.17%       5.064ms         4.58%      19.892ms      39.784us       2.352ms         0.46%      20.297ms      40.594us           0 b           0 b     777.93 Mb           0 b           500            --  
    aten::max_pool2d_with_indices         3.42%      14.828ms         3.42%      14.828ms      29.656us      17.945ms         3.54%      17.945ms      35.890us           0 b           0 b     777.93 Mb     777.93 Mb           500            --  
        aten::adaptive_avg_pool2d         2.46%      10.684ms         3.31%      14.357ms     143.570us     467.000us         0.09%       2.781ms      27.810us           0 b           0 b     250.00 Kb           0 b           100            --  
       aten::_adaptive_avg_pool2d         0.51%       2.212ms         0.85%       3.673ms      36.730us       1.904ms         0.38%       2.314ms      23.140us           0 b           0 b     250.00 Kb           0 b           100            --  
                    aten::flatten         0.20%     869.000us         0.39%       1.699ms      16.990us     440.000us         0.09%     649.000us       6.490us           0 b           0 b           0 b           0 b           100            --  
                     aten::linear         1.17%       5.067ms        10.37%      44.984ms     149.947us       2.254ms         0.44%      53.390ms     177.967us           0 b           0 b       3.17 Mb           0 b           300            --  
                          aten::t         0.71%       3.075ms         1.60%       6.958ms      23.193us       1.460ms         0.29%       3.481ms      11.603us           0 b           0 b           0 b           0 b           300            --  
                  aten::transpose         0.53%       2.319ms         0.89%       3.883ms      12.943us       1.378ms         0.27%       2.021ms       6.737us           0 b           0 b           0 b           0 b           300            --  
                 aten::as_strided         0.61%       2.626ms         0.61%       2.626ms       4.384us       1.311ms         0.26%       1.311ms       2.189us           0 b           0 b           0 b           0 b           599            --  
                      aten::addmm         6.73%      29.188ms         7.60%      32.959ms     109.863us      45.576ms         8.98%      47.655ms     158.850us           0 b           0 b       3.17 Mb       3.17 Mb           300         3.845  
                     aten::expand         0.62%       2.706ms         0.87%       3.771ms      12.570us       1.411ms         0.28%       2.079ms       6.930us           0 b           0 b           0 b           0 b           300            --  
                    aten::dropout         0.19%     825.000us         0.19%     825.000us       4.125us     433.000us         0.09%     433.000us       2.165us           0 b           0 b           0 b           0 b           200            --  
                         [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.75 Gb      -2.75 Gb          2700            --  
                      aten::empty         0.04%     165.000us         0.04%     165.000us       6.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      15.49 Mb      15.49 Mb            24            --  
                    aten::resize_         0.03%     111.000us         0.03%     111.000us       3.364us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb       5.00 Kb            33            --  
             aten::_reshape_alias         0.02%      68.000us         0.02%      68.000us       8.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                 aten::as_strided         0.00%       3.000us         0.00%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 433.940ms
Self CUDA time total: 507.564ms

BN融合的BN剪枝LN剪枝模型
time cost: 0.005495319366455078
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         3.25%      14.627ms        67.75%     304.856ms     234.505us       6.329ms         1.20%     390.734ms     300.565us           0 b           0 b       2.05 Gb           0 b          1300    427126.846  
                aten::convolution         2.89%      13.012ms        64.50%     290.229ms     223.253us       6.656ms         1.27%     384.405ms     295.696us           0 b           0 b       2.05 Gb           0 b          1300            --  
               aten::_convolution         7.60%      34.212ms        61.60%     277.217ms     213.244us      15.087ms         2.87%     377.749ms     290.576us           0 b           0 b       2.05 Gb           0 b          1300            --  
          aten::cudnn_convolution        38.74%     174.347ms        43.41%     195.324ms     150.249us     299.098ms        56.85%     308.759ms     237.507us           0 b           0 b       2.05 Gb       1.11 Gb          1300            --  
                    aten::resize_         2.25%      10.115ms         2.25%      10.115ms       3.767us       6.993ms         1.33%       6.993ms       2.604us           0 b           0 b     245.00 Kb     245.00 Kb          2685            --  
                      aten::empty         2.71%      12.195ms         2.71%      12.195ms       8.761us       3.104ms         0.59%       3.104ms       2.230us           0 b           0 b     958.89 Mb     958.89 Mb          1392            --  
                    aten::reshape         2.63%      11.856ms         5.31%      23.878ms      18.368us       6.106ms         1.16%       8.982ms       6.909us           0 b           0 b           0 b           0 b          1300            --  
             aten::_reshape_alias         2.84%      12.784ms         2.84%      12.784ms       9.171us       3.096ms         0.59%       3.096ms       2.221us           0 b           0 b           0 b           0 b          1394            --  
                       aten::add_         5.29%      23.803ms         5.29%      23.803ms      18.310us      44.921ms         8.54%      44.921ms      34.555us           0 b           0 b           0 b           0 b          1300            --  
                      aten::relu_         7.47%      33.619ms        14.08%      63.381ms      42.254us       7.175ms         1.36%      77.219ms      51.479us           0 b           0 b           0 b           0 b          1500            --  
                 aten::clamp_min_         2.82%      12.703ms         6.61%      29.762ms      19.841us       7.379ms         1.40%      70.044ms      46.696us           0 b           0 b           0 b           0 b          1500            --  
                  aten::clamp_min         3.79%      17.059ms         3.79%      17.059ms      11.373us      62.665ms        11.91%      62.665ms      41.777us           0 b           0 b           0 b           0 b          1500            --  
                 aten::max_pool2d         1.20%       5.400ms         4.66%      20.972ms      41.944us       2.414ms         0.46%      21.287ms      42.574us           0 b           0 b     728.71 Mb           0 b           500            --  
    aten::max_pool2d_with_indices         3.46%      15.572ms         3.46%      15.572ms      31.144us      18.873ms         3.59%      18.873ms      37.746us           0 b           0 b     728.71 Mb     728.71 Mb           500            --  
             aten::_reshape_alias         0.01%      56.000us         0.01%      56.000us       9.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
        aten::adaptive_avg_pool2d         2.50%      11.228ms         3.34%      15.027ms     150.270us     462.000us         0.09%       1.966ms      19.660us           0 b           0 b     250.00 Kb           0 b           100            --  
       aten::_adaptive_avg_pool2d         0.50%       2.272ms         0.84%       3.799ms      37.990us       1.068ms         0.20%       1.504ms      15.040us           0 b           0 b     250.00 Kb           0 b           100            --  
                    aten::flatten         0.21%     962.000us         0.40%       1.780ms      17.800us     467.000us         0.09%     687.000us       6.870us           0 b           0 b           0 b           0 b           100            --  
                     aten::linear         1.14%       5.139ms         9.59%      43.143ms     143.810us       2.329ms         0.44%      33.772ms     112.573us           0 b           0 b     850.00 Kb           0 b           300            --  
                          aten::t         0.80%       3.590ms         1.76%       7.926ms      26.420us       1.479ms         0.28%       3.518ms      11.727us           0 b           0 b           0 b           0 b           300            --  
                  aten::transpose         0.63%       2.827ms         0.96%       4.336ms      14.453us       1.372ms         0.26%       2.039ms       6.797us           0 b           0 b           0 b           0 b           300            --  
                 aten::as_strided         0.61%       2.726ms         0.61%       2.726ms       4.551us       1.344ms         0.26%       1.344ms       2.244us           0 b           0 b           0 b           0 b           599            --  
                      aten::addmm         5.77%      25.984ms         6.68%      30.078ms     100.260us      25.850ms         4.91%      27.925ms      93.083us           0 b           0 b     850.00 Kb     850.00 Kb           300       332.186  
                     aten::expand         0.64%       2.874ms         0.91%       4.094ms      13.647us       1.398ms         0.27%       2.075ms       6.917us           0 b           0 b           0 b           0 b           300            --  
                    aten::dropout         0.19%     840.000us         0.19%     840.000us       4.200us     439.000us         0.08%     439.000us       2.195us           0 b           0 b           0 b           0 b           200            --  
                         [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.77 Gb      -2.77 Gb          2700            --  
                      aten::empty         0.01%      50.000us         0.01%      50.000us       6.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.49 Mb       4.49 Mb             8            --  
                    aten::resize_         0.03%     144.000us         0.03%     144.000us       9.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb       5.00 Kb            15            --  
                 aten::as_strided         0.00%       3.000us         0.00%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 449.999ms
Self CUDA time total: 526.104ms

